archivo,fecha,documento,cliente,n_lineas,suma_cantidad,cajas_esperada,diff,estado
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000179,"DISTRIBUIDORA DE ALIMENTOS TROCAG, C.A",3,6.0,6.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000180,"INSIEME, S.A.",16,17.58,17.58,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000181,"LA BODEGUILLA ANDALUZ, C.A",8,4.77,4.76,0.01,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000182,LA FRAGATA EXQUISITECES CA,24,18.88,18.88,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000183,MERCADO LA FINCA CA,6,8.0,8.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000184,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",1,20.0,20.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000189,FARMACIA JOCARI CA,5,1.75,1.75,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26.pdf,07/01/2026,0000000127,AUTOMERCADO PACIFICO,26,36.5,36.5,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26.pdf,07/01/2026,0000000128,"INSIEME, S.A.",21,51.11,51.11,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26.pdf,07/01/2026,0000000129,"THE HAO SUPERMARKET, C.A",3,45.0,45.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26.pdf,07/01/2026,0000000130,"TODO MARKET, C.A.",24,33.0,33.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26.pdf,07/01/2026,0000000131,"TODO MARKET, C.A.",6,35.0,35.0,0.0,VALIDADO
FACT. TABATA MARCOS 14-01-26.pdf,14/01/2026,0000000638,"INSIEME, S.A.",21,17.48,17.46,0.02,VALIDADO
FACT. TABATA MARCOS 14-01-26.pdf,14/01/2026,0000000645,PANADERIA PASTELERIA CHARCUTERIA Y BODEGON CITY MANZION 95,8,12.67,12.67,0.0,VALIDADO
FACT. TABATA MARCOS 16-01-26.pdf,16/01/2026,0000000888,PIÑATERIA MCQUEEN 2010 CA,1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-01-26.pdf,16/01/2026,0000000889,LEYUMIR ELENA HENRIQUEZ LAYA,4,1.12,1.13,-0.01,VALIDADO
FACT. TABATA MARCOS 16-01-26.pdf,16/01/2026,0000000890,HIPER MERCADO COSTCO CA,15,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-01-26.pdf,16/01/2026,0000000891,FRESH MARKET C.A.,1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-01-26.pdf,16/01/2026,0000000892,EL MERCADITO DE LAS FRUTAS CA,2,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 16-01-26.pdf,16/01/2026,0000000893,"ALIMERKA, C.A.",7,4.54,4.53,0.01,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001055,AUTOMERCADO MIXMARKET CA,5,2.84,2.83,0.01,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001056,CEN BOLIVAR,10,6.7,6.69,0.01,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001059,"FANG KING MARKET F,P",9,3.95,3.94,0.01,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001060,"INVERSIONES F&V 2016, C.A",1,10.0,10.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001061,"MERCATODOS ANZOATEGUI, C.A",6,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001062,"MINI MARKET SUPERGANGA, C.A",10,7.21,7.2,0.01,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001063,"MINI SUPER 2017,C.A.",8,8.0,8.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001064,NG DARLI MUNDO FP,5,2.65,2.67,-0.02,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001065,ROSARIO INVERSIONES EXITO FP,6,11.0,11.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001066,"URANGA INVERSIONES, F.P",18,24.17,24.17,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001084,FENG COMERCIAL CHAFERDI 2023 FP,5,6.0,6.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001067,"ALIMERKA, C.A.",3,1.5,1.5,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001068,AUTOMERCADO PACIFICO,2,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001069,HOT DOGS LA PRINCIPAL CA,2,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001070,"INVERSIONES TIBACUY SINAI F,P",1,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 20-01-26.pdf,20/01/2026,0000001071,"TODO MARKET, C.A.",11,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001208,AUTOMERCADO DAVID FP,9,18.0,18.0,0.0,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001209,AUTOMERCADO TANG 688 F.P,18,6.53,6.5,0.03,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001210,FENG COMERCIAL CHAFERDI 2023 FP,1,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001211,HIPERMERCADO FAMOSO CA,6,6.0,6.0,0.0,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001212,"INVERSIONES NUEVA MIRANDA 88, C. A.",6,6.25,6.25,0.0,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001213,SUPERMERCADO EL ORIENTE DORADO CA,22,12.89,12.88,0.01,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001193,LA REINA DEL FARO 2023 C.A,36,26.86,26.86,0.0,VALIDADO
FACT. TABATA MARCOS 21-01-26.pdf,21/01/2026,0000001214,PANADERIA PASTELERIA CHARCUTERIA Y BODEGON CITY MANZION 95 CA,2,5.5,5.5,0.0,VALIDADO
FACT. TABATA MARCOS 22-01-26.pdf,22/01/2026,0000001336,DISTRIBUIDORA MEGAMAXI C.A,7,5.25,5.25,0.0,VALIDADO
FACT. TABATA MARCOS 22-01-26.pdf,22/01/2026,0000001337,"MINI MARKET MONARCA, C.A.",8,1.79,1.8,-0.01,VALIDADO
FACT. TABATA MARCOS 22-01-26.pdf,22/01/2026,0000001362,SUPERMERCADO MINGYU CA,27,22.82,22.8,0.02,VALIDADO
FACT. TABATA MARCOS 22-01-26.pdf,22/01/2026,0000001338,"BODEMARKET,C.A",18,5.0,4.98,0.02,VALIDADO
FACT. TABATA MARCOS 22-01-26.pdf,22/01/2026,0000001339,HIPERMERCADO FAMOSO CA,20,16.61,16.61,0.0,VALIDADO
FACT. TABATA MARCOS 22-01-26.pdf,22/01/2026,0000001340,LEYUMIR ELENA HENRIQUEZ LAYA,1,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 22-01-26.pdf,22/01/2026,0000001341,"TODO MARKET, C.A.",4,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001459,"AUTOMERCADO Y PANADERIA LA NARANJA, C. A.",26,11.07,11.06,0.01,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001460,HIPERMERCADO FAMOSO CA,26,25.24,25.25,-0.01,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001461,HIPERMERCADO FAMOSO CA,6,6.0,6.0,0.0,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001462,LA BODEGUILLA DEL TIO,17,3.01,3.02,-0.01,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001463,"MERCATODOS ANZOATEGUI, C.A",1,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001464,SUPERMERCADO BARRIO SUCRE 88 F.P,9,3.67,3.67,0.0,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001480,"TODO MARKET, C.A.",1,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 24-01-26.pdf,24/01/2026,0000001481,"THE HAO SUPERMARKET, C.A",2,20.0,20.0,0.0,VALIDADO
FACT. TABATA MARCOS 26-01-26.pdf,26/01/2026,0000001528,"DEPOSITADORA GIGANTE, C.A.",3,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 26-01-26.pdf,26/01/2026,0000001529,FARMACIAS SUPER FARMA CA,7,3.9,3.9,0.0,VALIDADO
FACT. TABATA MARCOS 26-01-26.pdf,26/01/2026,0000001530,HIPERMERCADO FAMOSO CA,30,25.03,25.03,0.0,VALIDADO
FACT. TABATA MARCOS 26-01-26.pdf,26/01/2026,0000001531,WU SUPER TODO FP,10,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 26-01-26.pdf,26/01/2026,0000001532,"AUTOMERCADO CLASIC URBANEJA, C.A",29,18.75,18.75,0.0,VALIDADO
FACT. TABATA MARCOS 26-01-26.pdf,26/01/2026,0000001533,"TODO MARKET, C.A.",2,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001706,CHACIN MINI ABASTO FP,1,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001707,FRIGORIFICOS BRAVOS DELI CA,9,2.34,2.33,0.01,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001708,"MINI MARKET SUPERGANGA, C.A",5,4.38,4.38,0.0,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001709,SUPERMERCADO Y CONFITERIA DISNEY,12,16.0,16.0,0.0,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001719,WU SUPER TODO FP,3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001720,LI SUPER MARKET FP,29,23.51,23.5,0.01,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001695,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",2,30.0,30.0,0.0,VALIDADO
FACT. TABATA MARCOS 28-01-26.pdf,28/01/2026,0000001696,"TODO MARKET, C.A.",2,10.0,10.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001805,BOLIVAR INVERSIONES CHADAI FP,6,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001806,"MERCATODOS ANZOATEGUI, C.A",1,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001807,SUPERCOMBO EXPRESS CA,7,8.0,8.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001808,TREBOLLS MARKET CA,2,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001809,ZHANG ABASTO LA GRAN OFERTA,5,6.0,6.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001810,AUTOMERCADO PACIFICO,6,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001811,"INVERSIONES TIBACUY SINAI F,P",1,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001812,"PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A",1,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 29-01-26.pdf,29/01/2026,0000001813,"THE HAO SUPERMARKET, C.A",10,7.5,7.5,0.0,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001912,"DEPOSITADORA GIGANTE, C.A.",7,4.92,4.92,0.0,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001913,DISTRIBUIDORA MEGAMAXI C.A,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001914,"INVERSIONES JR EL GORDO, C.A",32,12.69,12.68,0.01,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001915,LIANG SUPERMERCADO CHAO 88 FP,11,7.67,7.67,0.0,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001916,SUPER CASA WIPI,11,9.26,9.25,0.01,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001917,SUPERMERCADO BARRIO SUCRE 88 F.P,9,5.38,5.38,0.0,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001918,ZHANG ABASTO LA GRAN OFERTA,7,7.0,7.0,0.0,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001919,"LA BODEGUILLA ANDALUZ, C.A",21,16.75,16.75,0.0,VALIDADO
FACT. TABATA MARCOS 31-01-26.pdf,31/01/2026,0000001931,"TODO MARKET, C.A.",8,20.0,20.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002020,LIANG SUPERMERCADO CHAO 88 FP,7,3.92,3.92,0.0,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002021,"MINI SUPER 2017,C.A.",2,9.0,9.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002022,"SUPERTODO BOULEVARD, C.A",15,13.55,13.54,0.01,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002073,REAL Y MEDIO SUPERMERCADO CA,35,35.58,35.58,0.0,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002017,AUTOMERCADO PACIFICO,3,14.0,14.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002018,BODEGON EL IMPERIO C A,7,3.25,3.25,0.0,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002019,FRESH MARKET C.A.,13,10.32,10.33,-0.01,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002023,"THE HAO SUPERMARKET, C.A",2,40.0,40.0,0.0,VALIDADO
FACT. TABATA MARCOS 02-02-26.pdf,02/02/2026,0000002024,"TODO MARKET, C.A.",3,15.0,15.0,0.0,VALIDADO
FACT. TABATA MARCOS 03-02-26.pdf,03/02/2026,0000002130,CEN SUPER MARKET,14,24.0,24.0,0.0,VALIDADO
FACT. TABATA MARCOS 03-02-26.pdf,03/02/2026,0000002131,"DEPOSITADORA GIGANTE, C.A.",5,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 03-02-26.pdf,03/02/2026,0000002132,FARMACIAS SUPER FARMA CA,15,7.03,7.03,0.0,VALIDADO
FACT. TABATA MARCOS 03-02-26.pdf,03/02/2026,0000002133,"SUPERTODO BOULEVARD, C.A",1,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 03-02-26.pdf,03/02/2026,0000002134,ZHENG INVERSIONES SUPERIOR FP,8,8.25,8.25,0.0,VALIDADO
FACT. TABATA MARCOS 03-02-26.pdf,03/02/2026,0000002145,MULTITIENDA BARCELONA C A,2,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-02-26.pdf,04/02/2026,0000002167,BAKERY BAO BAO C.A,16,6.89,6.9,-0.01,VALIDADO
FACT. TABATA MARCOS 04-02-26.pdf,04/02/2026,0000002168,COMERCIAL EL GRAN MUNDO 888 CA,8,14.0,14.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-02-26.pdf,04/02/2026,0000002169,EL GRAN CENTURION 2021 CA,1,1.0,1.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-02-26.pdf,04/02/2026,0000002170,SUPERMERCADO EL ORIENTE DORADO CA,3,9.0,9.0,0.0,VALIDADO
FACT. TABATA MARCOS 04-02-26.pdf,04/02/2026,0000002161,MERCADO LA FINCA CA,4,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 05-02-26.pdf,05/02/2026,0000002275,"FANG KING MARKET F,P",4,4.17,4.17,0.0,VALIDADO
FACT. TABATA MARCOS 05-02-26.pdf,05/02/2026,0000002276,LI SUPER MARKET FP,18,14.2,14.2,0.0,VALIDADO
FACT. TABATA MARCOS 05-02-26.pdf,05/02/2026,0000002277,SUPER CASA WIPI,13,4.43,4.43,0.0,VALIDADO
FACT. TABATA MARCOS 05-02-26.pdf,05/02/2026,0000002278,SUPERMERCADO EL ORIENTE DORADO CA,23,14.4,14.38,0.02,VALIDADO
FACT. TABATA MARCOS 05-02-26.pdf,05/02/2026,0000002279,SUPERMERCADO MINGYU CA,23,24.4,24.38,0.02,VALIDADO
FACT. TABATA MARCOS 07-02-26.pdf,07/02/2026,0000002448,TREBOLLS MARKET CA,22,18.59,18.58,0.01,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002526,ARIANNE SOFIA MORALES HERRERA,32,16.76,16.72,0.04,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002527,CEN BOLIVAR,29,8.62,8.59,0.03,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002528,"COMERCIAL LA CARIDAD BENDITA, C.A",13,3.2,3.21,-0.01,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002529,EL BODEGON DE MOREIRA CA,4,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002530,EMPRENDIMIENTO BRICEIDA CERMEÑO,15,3.7,3.71,-0.01,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002531,"INVERSIONES NUEVA MIRANDA 88, C. A.",8,6.09,6.08,0.01,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002532,RABEEH MUNIB EL HALABI MUSTAFA,7,5.5,5.5,0.0,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002533,"URANGA INVERSIONES, F.P",3,11.0,11.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002504,AUTOMERCADO PACIFICO,1,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002505,HOT DOGS LA PRINCIPAL CA,1,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002507,LEYUMIR ELENA HENRIQUEZ LAYA,4,1.75,1.75,0.0,VALIDADO
FACT. TABATA MARCOS 09-02-26.pdf,09/02/2026,0000002575,PANAD. PAST. CHARCUT. Y BOD. CITY MANZION 95 CA,14,7.73,7.72,0.01,VALIDADO
FACT. TABATA MARCOS 10-02-26.pdf,10/02/2026,0000002647,COMERCIAL NUEVA CARACAS 168 C.A,3,10.0,10.0,0.0,VALIDADO
FACT. TABATA MARCOS 10-02-26.pdf,10/02/2026,0000002648,NG DARLI MUNDO FP,7,9.0,9.0,0.0,VALIDADO
FACT. TABATA MARCOS 10-02-26.pdf,10/02/2026,0000002649,"BODEMARKET,C.A",30,16.7,16.71,-0.01,VALIDADO
FACT. TABATA MARCOS 10-02-26.pdf,10/02/2026,0000002650,"BODEMARKET,C.A",10,3.29,3.29,0.0,VALIDADO
FACT. TABATA MARCOS 11-02-26.pdf,11/02/2026,0000002686,"MINI SUPER 2017,C.A.",1,5.0,5.0,0.0,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002815,COMERCIALIZADORA PEREDA,27,10.63,10.62,0.01,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002816,EMPRENDIMIENTO MAHRAN SHOKFAN,24,4.02,3.97,0.05,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002817,"MINI SUPER 2017,C.A.",6,4.12,4.11,0.01,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002818,SUPERCOMBO EXPRESS CA,14,22.0,22.0,0.0,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002819,SUPERMERCADO BARRIO SUCRE 88 F.P,11,3.55,3.54,0.01,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002820,WU ZEYUAN UNIMERCADO FAVORITO FP,18,7.21,7.2,0.01,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002834,BOLIVAR INVERSIONES CHADAI FP,3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002845,ALVAREZ PLAZA MARKET F.P,7,9.0,9.0,0.0,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002846,SUPERMERCADO MINGYU CA,15,5.48,5.5,-0.02,VALIDADO
FACT. TABATA MARCOS 12-02-26.pdf,12/02/2026,0000002821,LA FRAGATA EXQUISITECES CA,10,3.64,3.67,-0.03,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002944,AUTO MERCADO UNIOFERTAS CENTER C A,8,2.39,2.39,0.0,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002945,CHACIN MINI ABASTO FP,28,8.77,8.75,0.02,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002946,"COMERCIALIZADORA Y DISTRIBUIDORA CHACIN Y AURA, C.A.",3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002947,"DEPOSITADORA GIGANTE, C.A.",3,0.96,0.96,0.0,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002948,"DISTRIBUIDORA CAMINO REAL C Y D, CA",14,3.45,3.42,0.03,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002949,DISTRIBUIDORA MEGAMAXI C.A,3,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002950,EDWAR RAFAEL GONZALEZ RODRIGUEZ,19,4.53,4.53,0.0,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002951,"INVERSIONES F&V 2016, C.A",4,7.67,7.67,0.0,VALIDADO
FACT. TABATA MARCOS 17-02-26.pdf,17/02/2026,0000002952,"MINI SUPER 2017,C.A.",1,4.0,4.0,0.0,VALIDADO
